#Coverage (X)	Coverage
1.0	99.91285838783374
2.0	99.66992267821259
3.0	99.4755490216231
4.0	99.256959042103
5.0	99.01081703764355
6.0	98.7433161629873
7.0	98.4582726293997
8.0	98.17265893029571
9.0	97.88962250811386
10.0	97.58062480947116
11.0	97.2224333464778
12.0	96.8028333515461
13.0	96.28133796483371
14.0	95.61343625883508
15.0	94.75054224947962
16.0	93.62728324215976
17.0	92.1599675951071
18.0	90.23935259224754
19.0	87.7818004908279
20.0	84.68235916548291
21.0	80.88992529117245
22.0	76.37369822763989
23.0	71.1770460327484
24.0	65.33690501127819
25.0	59.00196839822905
26.0	52.39074100586606
27.0	45.696616773238816
28.0	39.11670672105476
29.0	32.87787468370101
30.0	27.10993648587099
31.0	21.95495064455099
32.0	17.471952091736767
33.0	13.692063530554435
34.0	10.582561571671661
35.0	8.086600710007247
36.0	6.130269049469845
37.0	4.650806465238716
38.0	3.555728717484996
39.0	2.7542584407665913
40.0	2.185541293996522
41.0	1.7843630908717216
42.0	1.504072608354761
43.0	1.3113441255561753
44.0	1.1812556170451671
45.0	1.093745473070939
46.0	1.0328416600560928
47.0	0.9909244175588867
48.0	0.9594550703926217
49.0	0.9356154833131001
50.0	0.9150640147923497
51.0	0.8984066495085727
