#Coverage	Number of genomic locations
341.0	11199.0
342.0	11245.0
343.0	10942.0
344.0	10444.0
345.0	11245.0
346.0	9985.0
347.0	9187.0
348.0	9685.0
349.0	10791.0
350.0	10772.0
351.0	11025.0
352.0	11653.0
353.0	9773.0
354.0	10341.0
355.0	11838.0
356.0	11628.0
357.0	12236.0
358.0	10408.0
359.0	10844.0
360.0	9778.0
361.0	9947.0
362.0	10158.0
363.0	8784.0
364.0	9181.0
365.0	8989.0
366.0	7994.0
367.0	9743.0
368.0	9439.0
369.0	8810.0
370.0	8144.0
371.0	9471.0
372.0	9254.0
373.0	8465.0
374.0	7384.0
375.0	6919.0
376.0	7675.0
377.0	6358.0
378.0	7033.0
379.0	6454.0
380.0	7048.0
381.0	6218.0
382.0	7084.0
383.0	7878.0
384.0	8385.0
385.0	8729.0
386.0	9683.0
387.0	8126.0
388.0	8201.0
389.0	8814.0
390.0	8616.0
391.0	6774.0
392.0	7020.0
393.0	7168.0
394.0	7903.0
395.0	7138.0
396.0	7233.0
397.0	6707.0
398.0	7434.0
399.0	7482.0
400.0	7333.0
401.0	7109.0
402.0	7823.0
403.0	7161.0
404.0	8302.0
405.0	7773.0
406.0	7748.0
407.0	7147.0
408.0	7376.0
409.0	7350.0
410.0	7376.0
411.0	6985.0
412.0	6026.0
413.0	6544.0
414.0	6577.0
415.0	6631.0
416.0	6520.0
417.0	7213.0
418.0	7726.0
419.0	7704.0
420.0	8024.0
421.0	6331.0
422.0	6434.0
423.0	5073.0
424.0	6266.0
425.0	5308.0
426.0	4793.0
427.0	4587.0
428.0	4484.0
429.0	5880.0
430.0	4919.0
431.0	5483.0
432.0	4844.0
433.0	4551.0
434.0	4868.0
435.0	5998.0
436.0	4562.0
437.0	3956.0
438.0	3531.0
439.0	3978.0
440.0	4645.0
441.0	4668.0
442.0	4488.0
443.0	5271.0
444.0	5164.0
445.0	4302.0
446.0	4606.0
447.0	4340.0
448.0	4619.0
449.0	5937.0
450.0	4994.0
451.0	4962.0
452.0	5140.0
453.0	4303.0
454.0	4564.0
455.0	5037.0
456.0	3461.0
457.0	4014.0
458.0	3242.0
459.0	3605.0
460.0	3199.0
461.0	3237.0
462.0	3596.0
463.0	3503.0
464.0	3341.0
465.0	4004.0
466.0	3315.0
467.0	3527.0
468.0	3646.0
469.0	5689.0
470.0	4067.0
471.0	3162.0
472.0	3547.0
473.0	3799.0
474.0	4277.0
475.0	5075.0
476.0	4985.0
477.0	4259.0
478.0	3269.0
479.0	3315.0
480.0	3596.0
481.0	3804.0
482.0	3278.0
483.0	3336.0
484.0	3479.0
485.0	3396.0
486.0	3803.0
487.0	4202.0
488.0	4662.0
489.0	3813.0
490.0	4366.0
491.0	3588.0
492.0	3716.0
493.0	3630.0
494.0	3569.0
495.0	4193.0
496.0	3038.0
497.0	2365.0
498.0	3239.0
499.0	4111.0
500.0	3256.0
501.0	2861.0
502.0	4522.0
503.0	4002.0
504.0	3829.0
505.0	3106.0
506.0	2941.0
507.0	3416.0
508.0	3050.0
509.0	3100.0
510.0	2741.0
511.0	2302.0
512.0	2435.0
513.0	2838.0
514.0	2716.0
515.0	2309.0
516.0	2349.0
517.0	2542.0
518.0	2208.0
519.0	2327.0
520.0	2375.0
521.0	2305.0
522.0	2923.0
523.0	2577.0
524.0	3102.0
525.0	2961.0
526.0	2911.0
527.0	3252.0
528.0	2568.0
529.0	2208.0
530.0	1752.0
531.0	1800.0
532.0	1940.0
533.0	1457.0
534.0	1740.0
535.0	1590.0
536.0	2088.0
